Date,Content,Video title,Video publish time,Duration,Engaged views
2026-07-28,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,0
2026-07-29,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,0
2026-07-30,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,0
2026-07-31,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,0
2026-08-01,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,0
2026-08-02,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,0
2026-08-03,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,0
2026-08-04,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,0
2026-08-05,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,0
2026-08-06,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,0
2026-08-07,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,0
2026-08-08,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,0
2026-08-09,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,0
2026-08-10,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,0
2026-08-11,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,0
2026-08-12,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,0
2026-08-13,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,0
2026-08-14,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,0
2026-08-15,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,0
2026-08-16,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,0
2026-08-17,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,0
2026-08-18,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,521
2026-08-19,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,4
2026-08-20,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,52
2026-08-21,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,0
2026-08-22,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,0
2026-08-23,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,0
2026-08-24,8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,1
2026-07-28,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-07-29,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-07-30,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-07-31,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-08-01,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-08-02,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-08-03,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-08-04,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-08-05,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-08-06,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-08-07,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-08-08,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-08-09,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-08-10,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-08-11,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-08-12,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-08-13,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-08-14,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-08-15,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-08-16,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-08-17,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-08-18,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-08-19,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-08-20,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-08-21,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-08-22,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,0
2026-08-23,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,61
2026-08-24,FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,6
2026-07-28,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,0
2026-07-29,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,0
2026-07-30,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,0
2026-07-31,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,0
2026-08-01,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,0
2026-08-02,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,0
2026-08-03,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,0
2026-08-04,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,0
2026-08-05,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,0
2026-08-06,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,0
2026-08-07,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,0
2026-08-08,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,0
2026-08-09,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,0
2026-08-10,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,0
2026-08-11,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,0
2026-08-12,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,0
2026-08-13,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,0
2026-08-14,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,0
2026-08-15,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,0
2026-08-16,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,0
2026-08-17,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,0
2026-08-18,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,0
2026-08-19,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,0
2026-08-20,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,0
2026-08-21,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,0
2026-08-22,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,531
2026-08-23,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,211
2026-08-24,L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,35
2026-07-28,MByke50P4rU,Should you be scared about AI? #lovablepartner #LovablePartner,"Aug 20, 2026",33,0
2026-07-29,MByke50P4rU,Should you be scared about AI? #lovablepartner #LovablePartner,"Aug 20, 2026",33,0
2026-07-30,MByke50P4rU,Should you be scared about AI? #lovablepartner #LovablePartner,"Aug 20, 2026",33,0
2026-07-31,MByke50P4rU,Should you be scared about AI? #lovablepartner #LovablePartner,"Aug 20, 2026",33,0
2026-08-01,MByke50P4rU,Should you be scared about AI? #lovablepartner #LovablePartner,"Aug 20, 2026",33,0
2026-08-02,MByke50P4rU,Should you be scared about AI? #lovablepartner #LovablePartner,"Aug 20, 2026",33,0
2026-08-03,MByke50P4rU,Should you be scared about AI? #lovablepartner #LovablePartner,"Aug 20, 2026",33,0
2026-08-04,MByke50P4rU,Should you be scared about AI? #lovablepartner #LovablePartner,"Aug 20, 2026",33,0
2026-08-05,MByke50P4rU,Should you be scared about AI? #lovablepartner #LovablePartner,"Aug 20, 2026",33,0
